"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"age0to4","222319","213461","204487","195598","184490","172207","160083","144738","126621","115403"
"age5to9","238054","228909","221979","215357","207518","198783","188108","177475","163105","153900"
"age10to14","267469","259845","249569","238977","228552","216618","205882","196998","184834","189662"
"age15to19","282899","274958","267919","260427","250448","242946","234369","222094","205289","208460"
"age20to24","262165","264093","263725","262649","258275","250232","241762","232902","218348","224534"
"age25to29","242469","233990","227647","224397","223034","225335","226294","224134","215642","203972"
"age30to34","247783","243564","237515","230016","220445","208447","198438","189733","179107","181558"
"age35to39","240281","234603","230777","228535","223973","220778","215216","206939","193463","188853"
"age40to44","241688","237765","234064","230386","225201","218869","212010","206364","199040","206339"
"age45to49","247830","245772","242010","236261","229286","223888","219040","213760","205928","204546"
"age50to54","239775","238218","236017","235597","234735","232281","229505","224871","216303","208377"
"age55to59","223990","224719","225838","226059","225329","225044","223224","220567","218120","215519"
"age60to64","217919","215591","211862","209708","208939","208400","209276","209872","208138","212906"
"age65to69","177414","184524","191040","196264","198677","200020","197654","193515","188840","193754"
"age70to74","137016","139945","144092","149059","153375","157997","164706","170172","172973","172738"
"age75to79","101499","104020","106827","109950","113441","116445","119418","123030","126496","130418"
"age80to84","67567","69339","71076","72950","75426","78864","81760","84607","86807","95927"
